Etch_Avgcf4Flow,Etch_AvgO2Flow,Etch_Avg_Rf2_Pow,Etch_Avg_Rf1_Pow,Etch_AvgPres,Pred_AvgEtchRate,Unc_AvgEtchRate,Pred_ThicknessRange,Unc_ThicknessRange
19.5,17.5,249.0,66.0,11.8,41.066088564087735,8.627518696884108,2.11766013589747,3.1200138304596527
25.3,12.9,663.0,3.0,13.9,49.2549320501784,16.515789783864832,3.5068633662728184,4.062359681857902
22.3,10.600000000000001,284.0,61.0,8.1,58.306368511721274,7.142891215737281,3.92030246015472,2.384266179816058
